Purchase_ID,Buyer_ID,Mood,Emotion_Intensity,Product_Category,Product_Name,Brand,Amount,Discount(%),Payment_Mode,Purchase_Date,Purchase_Time,Device_Used
1,1,Excited,7,Food,Laptop,BrandD,3087,0,Debit Card,2025-01-01,0 days 00:35:34,Tablet
2,2,Excited,5,Books,Lipstick,BrandB,4543,34,Credit Card,2025-01-02,0 days 18:05:26,Tablet
3,3,Excited,1,Food,T-shirt,BrandC,4828,35,Credit Card,2025-01-03,0 days 14:06:31,Mobile
4,4,Calm,7,Beauty,Lipstick,BrandD,3730,37,Cash,2025-01-04,0 days 11:29:39,
5,5,Calm,7,Beauty,Pizza,BrandB,989,38,Credit Card,2025-01-05,0 days 23:46:49,
6,6,,6,Food,Novel,BrandC,1500,24,Cash,2025-01-06,0 days 22:15:19,Tablet
7,7,Sad,4,Clothing,Pizza,BrandC,2147,39,Cash,2025-01-07,0 days 10:28:43,Laptop
8,8,Excited,8,Clothing,Laptop,BrandD,2442,12,Credit Card,2025-01-08,0 days 11:26:06,Mobile
9,9,Calm,2,Clothing,Laptop,BrandD,,3,Cash,2025-01-09,0 days 23:41:50,Laptop
10,10,Angry,2,Books,Lipstick,BrandC,1558,5,UPI,2025-01-10,0 days 02:00:49,Tablet
11,11,Calm,2,Beauty,Pizza,BrandD,3856,10,UPI,2025-01-11,0 days 01:03:16,Laptop
12,12,Sad,3,Beauty,Laptop,BrandD,,0,UPI,2025-01-12,0 days 05:15:18,Tablet
13,13,Calm,6,Beauty,T-shirt,BrandA,1650,7,Debit Card,2025-01-13,0 days 05:09:24,Tablet
14,14,Sad,1,Books,T-shirt,BrandD,2323,33,Cash,2025-01-14,0 days 22:27:28,Laptop
15,15,Excited,2,Beauty,Novel,BrandA,3042,,Cash,2025-01-15,0 days 21:52:23,Laptop
16,16,Excited,2,Food,Lipstick,BrandD,1864,8,UPI,2025-01-16,0 days 18:36:22,Mobile
17,17,Excited,1,Electronics,Laptop,BrandD,4148,35,Debit Card,2025-01-17,0 days 18:28:07,Tablet
18,18,Angry,3,Books,Novel,BrandC,1594,48,Credit Card,2025-01-18,0 days 14:46:13,Tablet
19,19,Angry,7,Electronics,T-shirt,BrandA,4272,38,UPI,2025-01-19,0 days 18:40:53,Tablet
20,20,Sad,1,Food,Novel,BrandD,3834,41,Debit Card,2025-01-20,0 days 14:49:54,Tablet
21,21,Happy,7,Clothing,Novel,BrandB,414,36,Credit Card,2025-01-21,0 days 03:09:50,Tablet
22,22,Angry,5,Clothing,Laptop,BrandD,3272,41,Debit Card,2025-01-22,0 days 15:43:47,Laptop
23,23,Sad,9,Clothing,Laptop,BrandC,,43,Credit Card,2025-01-23,0 days 22:30:13,
24,24,Calm,2,Books,Laptop,BrandC,4672,20,Cash,2025-01-24,0 days 23:11:56,Laptop
25,25,Excited,1,Clothing,Lipstick,BrandC,2659,19,Cash,2025-01-25,0 days 08:35:50,Mobile
26,26,Excited,9,Books,Novel,BrandA,3906,37,Debit Card,2025-01-26,0 days 20:02:10,Tablet
27,27,Excited,8,Books,Novel,BrandA,3471,0,Debit Card,2025-01-27,0 days 17:29:23,Mobile
28,28,Sad,6,Electronics,Lipstick,BrandA,,34,Credit Card,2025-01-28,0 days 12:24:53,Laptop
29,29,,5,Clothing,T-shirt,BrandB,609,27,Debit Card,2025-01-29,0 days 05:26:40,Laptop
30,30,Angry,8,Beauty,Pizza,BrandA,3669,6,Debit Card,2025-01-30,0 days 20:43:54,Mobile
31,31,,8,Clothing,T-shirt,BrandC,415,,Credit Card,2025-01-31,0 days 17:31:26,Tablet
32,32,,5,Clothing,Lipstick,BrandA,548,43,Credit Card,2025-02-01,0 days 21:31:18,Laptop
33,33,Sad,7,Clothing,Novel,BrandA,3851,8,Cash,2025-02-02,0 days 03:53:32,Laptop
34,34,Calm,1,Beauty,Novel,BrandD,3078,0,UPI,2025-02-03,0 days 08:31:42,Laptop
35,35,Excited,4,Beauty,Laptop,BrandA,3865,35,Debit Card,2025-02-04,0 days 13:22:56,Laptop
36,36,Happy,2,Books,Laptop,BrandD,4949,33,Credit Card,2025-02-05,0 days 02:52:26,Laptop
37,37,Excited,3,Beauty,Novel,BrandA,3269,33,Cash,2025-02-06,0 days 04:00:28,Laptop
38,38,Angry,1,Books,Novel,BrandD,4194,16,UPI,2025-02-07,0 days 01:35:55,Mobile
39,39,Calm,2,Electronics,Laptop,BrandC,3312,31,Debit Card,,0 days 01:44:43,Tablet
40,40,Angry,1,Books,Laptop,BrandA,202,1,Cash,,0 days 13:37:16,Tablet
41,41,Happy,8,Clothing,T-shirt,BrandC,1317,35,UPI,2025-02-10,0 days 00:22:17,Tablet
42,42,,4,Food,Novel,BrandA,1282,24,Debit Card,2025-02-11,0 days 16:36:26,Tablet
43,43,Angry,3,Food,Novel,BrandB,4702,42,Cash,2025-02-12,0 days 17:29:28,Mobile
44,44,Calm,1,Clothing,Lipstick,BrandB,1717,,Debit Card,2025-02-13,0 days 05:47:37,Mobile
45,45,Happy,2,Books,T-shirt,BrandC,2095,44,UPI,2025-02-14,,Tablet
46,46,Happy,3,Clothing,Pizza,BrandC,3779,25,Credit Card,2025-02-15,,Laptop
47,47,Excited,3,Beauty,Pizza,BrandB,,20,Cash,2025-02-16,0 days 04:30:14,Tablet
48,48,Sad,6,Books,Pizza,BrandB,2579,17,UPI,2025-02-17,0 days 11:32:12,Laptop
49,49,Happy,8,Clothing,Laptop,BrandD,1212,28,Debit Card,2025-02-18,0 days 07:22:11,Laptop
50,50,,6,Beauty,Pizza,BrandA,4464,23,UPI,2025-02-19,0 days 20:25:49,Mobile
51,51,Calm,2,Beauty,Lipstick,BrandB,3023,46,UPI,2025-02-20,0 days 09:56:52,Laptop
52,52,Excited,2,Books,Laptop,BrandC,1048,27,Credit Card,2025-02-21,0 days 16:22:08,Mobile
53,53,Calm,7,Electronics,Laptop,BrandC,1904,11,Cash,2025-02-22,0 days 19:35:54,Tablet
54,54,Excited,1,Electronics,Pizza,BrandB,4293,10,UPI,2025-02-23,0 days 17:44:43,Mobile
55,55,Happy,1,Beauty,Laptop,BrandC,,26,Credit Card,2025-02-24,0 days 23:22:33,Laptop
56,56,Happy,7,Electronics,T-shirt,BrandA,2092,22,Credit Card,2025-02-25,0 days 14:33:18,Laptop
57,57,Happy,9,Beauty,T-shirt,BrandD,,,Credit Card,2025-02-26,0 days 11:52:54,Laptop
58,58,Happy,5,Electronics,Pizza,BrandA,3776,15,Debit Card,2025-02-27,0 days 08:38:10,Tablet
59,59,Sad,1,Beauty,Lipstick,BrandD,2551,27,Credit Card,2025-02-28,0 days 10:13:29,Mobile
60,60,Sad,5,Beauty,Laptop,BrandD,2334,27,Credit Card,2025-03-01,0 days 18:43:45,Tablet
61,61,Happy,1,Beauty,Novel,BrandB,2675,44,Credit Card,2025-03-02,0 days 06:41:00,Mobile
62,62,Calm,9,Beauty,Pizza,BrandC,4745,37,Credit Card,2025-03-03,0 days 02:48:11,Tablet
63,63,Excited,4,Food,Laptop,BrandD,985,5,Cash,2025-03-04,0 days 12:51:23,Tablet
64,64,Angry,9,Electronics,Pizza,BrandB,4297,41,Cash,2025-03-05,0 days 05:17:19,Laptop
65,65,Excited,2,Beauty,Pizza,BrandC,2990,28,Credit Card,2025-03-06,0 days 12:01:29,Tablet
66,66,Angry,7,Clothing,Lipstick,BrandC,2357,33,UPI,2025-03-07,0 days 01:01:58,Tablet
67,67,Angry,2,Books,Novel,BrandD,878,2,Debit Card,2025-03-08,0 days 06:05:19,Mobile
68,68,Happy,4,Clothing,Laptop,BrandC,3728,5,UPI,2025-03-09,0 days 11:40:16,Tablet
69,69,Angry,6,Clothing,Pizza,BrandA,3759,47,UPI,2025-03-10,0 days 20:53:54,Laptop
70,70,Happy,2,Food,Pizza,BrandC,570,37,Credit Card,2025-03-11,0 days 09:33:18,Tablet
71,71,Sad,2,Electronics,Laptop,BrandA,,12,UPI,2025-03-12,0 days 05:57:24,Mobile
72,72,Calm,2,Food,Pizza,BrandC,921,35,Cash,2025-03-13,0 days 23:01:51,Mobile
73,73,Angry,3,Electronics,Pizza,BrandD,4600,14,Cash,2025-03-14,0 days 13:20:51,Tablet
74,74,Calm,5,Beauty,Pizza,BrandD,1123,5,Debit Card,2025-03-15,0 days 01:54:26,Tablet
